111101101101111,1000000000
000001001001001,0100000000
001001001001001,0100000000
000001001001000,0100000000
111001111100111,0010000000
111001111100110,0010000000
011001111100110,0010000000
111001111001111,0001000000
011001111001111,0001000000
011001011001011,0001000000
101101111001001,0000100000
001101111001001,0000100000
001101111001000,0000100000
111100111001111,0000010000
110100111001111,0000010000
110100111001011,0000010000
111100111101111,0000001000
110100111101111,0000001000
100100111101111,0000001000
111001001001001,0000000100
111001001001000,0000000100
011001001001001,0000000100
111101111101111,0000000010
111101111001111,0000000001
111101111001011,0000000001
111101111001001,0000000001
